feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run03-157	0.0450891421629926	0.24259530529851	0	0	0.000107184965522169	0.663010468398299	0.000214369931044339	0	0.0489835292436314	0
run03-158	0.0892003527173156	0.344456304822017	9.28203462198914e-05	0	0	0.541931591404836	0	0	0.0243189307096115	0
run03-159	0.143159592700877	0.095322109083577	0	0	0.0023187821352959	0.684393588063313	0.00136102429680411	0.000100816614578082	0.0731424538763988	0.000201633229156165
run03-160	0.0167190759363617	0.28114200317569	0	0.00625797814377783	0.0339674336062767	0.453905787851427	0.130390111771848	0	0.0686820884834522	0.00893552103116535
run03-163	0.097938332421091	0.276445904032111	7.29793833242109e-05	0.000328407224958949	0.0139390622149243	0.582922824302135	0	0	0.0271848202882686	0.00116767013318737
run03-164	0.100308409808936	0.321498420340003	0	0.00488942380021062	0.000865051903114187	0.561343463216489	7.52219046186249e-05	0	0.0103430118850609	0.000676997141567625
run03-165	0.0585057319804981	0.238997232837001	0	0.0153511661615496	0.0107721702464093	0.543286335485571	0	0	0.0597246013967585	0.0733627618922124
run03-166	0.0526015618145126	0.390234272176889	0	0	0.00530841449504255	0.425506712292709	0.000701939106782487	0	0.125164516978152	0.00048258313591296
run03-167	0.107005855037351	0.249909145972138	0	0	0.0112658994548758	0.538461538461538	0.000363416111447608	0	0.0929941449626489	0
run03-168	0.121185574536429	0.306504599211564	7.30033581544751e-05	0	0	0.489597021462987	0.00901591473207768	0	0.0736238866987881	0
run03-169	0.154604396183649	0.298271045279637	0	0	0.00184492119550893	0.509540878182489	0	0	0.0357387591587159	0
run03-170	0.208729637187424	0.17023484245841	0.000207519109051292	0	0.0029398540448933	0.553453463839795	0.00172932590876077	0	0.0626361844153149	6.91730363504306e-05
run03-171	0.0914026795828288	0.312956525135737	0	0	0	0.476700128901215	0.000156243896722784	0	0.118784422483497	0
run03-172	0.0772970188654948	0.252269654239907	0.000321936771618054	0.0126843088017513	0.0182538149507437	0.569473955315176	0.00866009915652566	0.000225355740132638	0.0608138561586504	0
run03-173	0.180337599703209	0.269263587460582	0	0	0	0.512928955666852	0	0	0.0374698571693563	0
run03-174	0.0408938837821158	0.310585636794751	0	0.00279338681911196	0.00815279176275701	0.600253353688245	0.0158508461363563	0.000259849936661578	0.0212102510800013	0
run03-175	0.0310701956271577	0.401718929804373	0.000143843498273878	0	0	0.513773014959724	0.000107882623705409	0.000107882623705409	0.053078250863061	0
