feature	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota
run02-156	-3.79366825785135	-2.32983564086234	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.545967592168111	-15.1515319216358	-15.3571395900055	-4.57976638878836	-8.80556907182874
run02-157	-4.14774028647842	-1.65145751154387	-14.7595241355176	-7.72894086840337	-5.97672750053823	-0.88016146194266	-15.1515319216358	-15.3571395900055	-4.05722290327414	-9.59143734465344
run02-158	-4.41278152533848	-1.78709846409856	-14.7595241355176	-14.7872904265596	-7.23720996075502	-0.85523448219772	-10.6846689377262	-15.3571395900055	-3.94197673253308	-4.70947232872682
run02-159	-4.26494492414118	-1.89818629958698	-14.7595241355176	-9.95843188164051	-9.45593154111132	-0.574907577319752	-15.1515319216358	-15.3571395900055	-7.39364726285698	-14.8194306895258
run02-160	-1.42021896508414	-3.12551538115134	-14.7595241355176	-14.7872904265596	-5.64573303297595	-1.21056211420006	-11.7246843743708	-15.3571395900055	-7.01318946772068	-4.27512299975753
run02-161	-3.07785920643772	-2.3962681410371	-13.214850318518	-14.7872904265596	-6.45996281635449	-0.621809406928541	-15.1515319216358	-15.3571395900055	-5.07529896611916	-10.6298878177968
run02-162	-3.70163252105393	-2.09425615099523	-14.7595241355176	-14.7872904265596	-10.0964014228268	-0.748727330921317	-15.1515319216358	-15.3571395900055	-3.42802291391799	-14.8194306895258
run02-163	-3.32806672963998	-1.91280743083101	-14.7595241355176	-14.7872904265596	-6.99517827171501	-0.775303907081075	-9.7221597773086	-15.3571395900055	-4.58861892636047	-14.8194306895258
run02-164	-2.76132014617833	-1.97679900511023	-14.7595241355176	-14.7872904265596	-7.31204145327848	-0.893351087715166	-15.1515319216358	-15.3571395900055	-4.21617290729637	-14.8194306895258
run02-165	-5.36117971683196	-2.24740394933314	-14.7595241355176	-5.18197690180164	-6.68310781171933	-0.946433112813887	-15.1515319216358	-15.3571395900055	-5.47239719543051	-2.42389608124786
run02-166	-4.02368125366954	-1.77240651315354	-14.7595241355176	-14.7872904265596	-7.2250045573004	-0.766222362505211	-5.37146338628481	-15.3571395900055	-5.2107906980807	-14.8194306895258
run02-169	-3.76024641800211	-2.49861883338257	-13.6375305515253	-4.98468557852333	-7.23665111524313	-0.735720867201681	-13.0525680508042	-15.3571395900055	-3.47450991194452	-5.61793982316743
run02-170	-4.55075721132599	-1.78620023188685	-14.7595241355176	-14.7872904265596	-7.55467226132938	-0.686856355071243	-10.9083092159441	-15.3571395900055	-4.63115099117674	-14.8194306895258
run02-171	-5.38600720337194	-2.10094070578757	-11.9069532112219	-14.7872904265596	-7.96835375588609	-0.715071479540933	-10.791475993802	-10.791475993802	-2.96102173074918	-14.8194306895258
run02-172	-4.33091687811462	-1.7564467512111	-14.7595241355176	-10.8544788341716	-15.3571395900055	-0.682676545488647	-15.1515319216358	-15.3571395900055	-5.03429987175644	-11.8544788341716
run02-174	-3.80400284739403	-1.76055599992837	-14.7595241355176	-14.7872904265596	-7.19664582473603	-1.04141992737998	-9.16285751127975	-15.3571395900055	-2.84829524601543	-14.8194306895258
run02-175	-2.38126426057096	-2.36039506852336	-14.7595241355176	-14.7872904265596	-8.22219777460334	-0.888329794189646	-12.1450299140809	-15.3571395900055	-3.85808717714285	-10.8231018191935
run02-177	-3.83284279242306	-1.71080680262529	-14.7595241355176	-14.7872904265596	-10.0915770608232	-0.840179188894604	-8.89893198288083	-10.5066145601021	-4.01018873398257	-14.8194306895258
run02-178	-2.46364085545478	-2.1321209177706	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.812651554194212	-15.1515319216358	-15.3571395900055	-5.55606994959847	-14.8194306895258
run02-180	-2.68663131914446	-2.12767467694234	-14.7595241355176	-14.7872904265596	-8.78290723020111	-0.799596892954009	-15.1515319216358	-15.3571395900055	-4.74703898224626	-9.09485123651585
run02-181	-3.92922301814007	-1.74250613219977	-14.7595241355176	-14.7872904265596	-6.369662390537	-0.791465177903144	-11.5244804995891	-15.3571395900055	-4.46378456790155	-14.8194306895258
run02-182	-3.76926224785393	-1.81148018471523	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.705923549903021	-15.1515319216358	-15.3571395900055	-5.12220593237317	-14.8194306895258
run02-183	-3.88876538444062	-1.64480094160541	-14.7595241355176	-14.7872904265596	-5.95863019131519	-0.844530248501894	-9.93315950379907	-12.9920531928526	-4.6959017328987	-14.8194306895258
run02-184	-2.4395658609164	-2.04838705439557	-14.7595241355176	-14.7872904265596	-7.13269434033191	-0.971612858054729	-13.5839054521642	-13.5839054521642	-4.14096195631551	-14.8194306895258
run02-185	-4.11066870092159	-1.69333866176595	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.861518046208569	-3.97862634920743	-15.3571395900055	-5.71039035891517	-14.8194306895258
run02-186	-3.01402583323767	-1.92444429725321	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.765368863131712	-15.1515319216358	-15.3571395900055	-5.35315397606616	-14.8194306895258
run02-97	-3.41692117078571	-2.25708416666453	-14.7595241355176	-14.7872904265596	-10.8382847485895	-0.674425454695935	-8.11946650113354	-10.1753197358671	-3.93039262913589	-14.8194306895258
run02-98	-4.06593789848446	-2.89039273005584	-14.7595241355176	-6.58486163764279	-8.41171273532619	-0.988847028096917	-15.1515319216358	-15.3571395900055	-1.79490136856569	-14.8194306895258
run02-99	-3.75472703333055	-1.30339214344993	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.955129389027284	-15.1515319216358	-15.3571395900055	-7.65837196943541	-14.8194306895258
run03-103	-3.55764642806998	-1.5487196462804	-7.80910131500889	-14.7872904265596	-6.8778140650929	-1.15577017686637	-7.60116004996998	-15.3571395900055	-3.23348878247032	-14.8194306895258
run03-104	-5.49434662025448	-2.49326716263518	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.928953756999329	-15.1515319216358	-11.0706959906709	-1.865077264354	-14.8194306895258
run03-105	-4.15288030481061	-1.54762038985623	-4.24792751344359	-14.7872904265596	-4.25657160785284	-1.26963564255646	-6.70908381255034	-15.3571395900055	-3.78708632455162	-14.8194306895258
run03-106	-3.30506287949643	-2.02661510352199	-14.7595241355176	-10.9292055616969	-9.41463238886712	-0.908126444636999	-12.1515979830333	-12.1515979830333	-3.18437172419734	-6.94865792436305
run03-107	-4.55440612796884	-1.74930206027176	-14.7595241355176	-14.7872904265596	-10.3617610500264	-0.775025491739256	-11.3617610500264	-13.5316860514688	-3.77346283674203	-9.62479545586024
run03-108	-4.89513988995409	-1.77424045660188	-14.7595241355176	-14.7872904265596	-9.56958439956224	-0.744625659033718	-10.2894764803695	-13.3769393216198	-3.75123047855538	-10.3769393216198
run03-109	-9.96596461027208	-3.75164548947132	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.505423390306219	-15.1515319216358	-15.3571395900055	-2.18242064948555	-14.8194306895258
run03-110	-6.3670309811679	-13.8871571375214	-11.0619111739671	-14.7872904265596	-15.3571395900055	-0.615034652398656	-8.361471455826	-15.3571395900055	-3.38736578012123	-2.08377275889713
run03-111	-3.23092689697368	-2.12091936493292	-14.7595241355176	-9.11473387946916	-8.46265718288946	-0.65101490242876	-15.1515319216358	-12.5070513022479	-5.53550774829714	-11.3371263008056
run03-112	-3.6358066403861	-1.84133160717967	-14.7595241355176	-14.7872904265596	-11.125472177478	-0.788458537053455	-9.58490379611531	-15.3571395900055	-4.06428511555903	-14.8194306895258
run03-113	-3.6411679148039	-1.27668357795221	-14.7595241355176	-14.7872904265596	-15.3571395900055	-1.03131782021142	-15.1515319216358	-15.3571395900055	-5.80837341489263	-14.8194306895258
run03-114	-3.37743168081174	-3.41381362557112	-14.7595241355176	-14.7872904265596	-7.31266690211422	-0.540548738828363	-9.49553095926403	-15.3571395900055	-3.12331296631484	-14.8194306895258
run03-115	-5.58860390359243	-2.3148119290898	-14.7595241355176	-7.36268997924274	-5.44154539995398	-1.1093202286639	-2.5476814846417	-15.3571395900055	-3.23604041914257	-6.88385582938292
run03-116	-3.00774802375568	-2.45217477163764	-14.7595241355176	-11.0991834100793	-6.43384749289411	-0.761561508086778	-15.1515319216358	-15.3571395900055	-3.47530192006583	-9.77725531519192
run03-117	-2.9551262500386	-1.54560930713838	-14.7595241355176	-6.74609604377785	-9.64162677722182	-1.00660224746391	-15.1515319216358	-15.3571395900055	-5.69291600591868	-10.144127117751
run03-118	-3.93624263511174	-2.03187088372605	-14.7595241355176	-5.86421294883909	-7.24835644017215	-0.84839365935501	-12.7159619902551	-15.3571395900055	-4.07030355784643	-4.28446438599709
run03-119	-4.0608735327712	-1.79152995489592	-14.7595241355176	-14.7872904265596	-7.94062145292107	-1.03994938004771	-13.4797802640291	-15.3571395900055	-2.64294090428038	-10.6724253419715
run03-120	-2.84775766485803	-3.08975324699206	-13.7595241355176	-14.7872904265596	-7.29191858543459	-0.721977181555404	-10.5895991340753	-13.7595241355176	-2.94134143056894	-14.8194306895258
run03-121	-3.75250821895575	-1.55522209975266	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.963536491295771	-8.30125053176415	-13.6351512683176	-3.84724870892616	-14.8194306895258
run03-122	-2.8396147441903	-2.25187753263029	-13.0303653938527	-14.7872904265596	-10.9429025526023	-0.696231803054499	-15.1515319216358	-15.3571395900055	-4.94157715513575	-14.8194306895258
run03-123	-2.42260069186228	-2.84095473292558	-14.7595241355176	-14.7872904265596	-9.38177467840354	-0.810496059888941	-11.2822390048526	-15.3571395900055	-3.29582806960058	-14.8194306895258
run03-124	-3.60824401518725	-1.83792820637824	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.903354052084005	-15.1515319216358	-15.3571395900055	-3.2704146764133	-14.8194306895258
run03-125	-3.58730022612767	-2.39772917267998	-11.145083002158	-7.28710200703047	-6.81715616664924	-0.605358729227706	-8.28710200703047	-10.2064835468222	-4.32277773863447	-14.8194306895258
run03-126	-2.60005431925168	-2.38935248600414	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.761470755509247	-13.3457286432538	-12.6087630490876	-4.20959195526778	-14.8194306895258
run03-127	-4.55420616830641	-2.03220886328762	-14.7595241355176	-9.21717118102884	-7.4576041579255	-0.604852312646794	-5.84304687501605	-15.3571395900055	-5.02908125628937	-14.8194306895258
run03-128	-5.25084113650888	-1.77706282462473	-14.7595241355176	-14.7872904265596	-15.3571395900055	-0.758266342408034	-6.94080925113792	-11.489245875834	-3.60354950249456	-14.8194306895258
