feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Patescibacteria
run06-131	0.0897175299642532	0.205719492535221	0	0.00273358099109834	0.599144879792528	0.00049064274199201	0.0996004766243779	0.00259339735052919	0	0
run06-132	0.0987620994176854	0.15282866067641	0.00050133045389688	0.000732713740310825	0.719216381936678	0	0.0277659943696734	0.000192819405344954	0	0
run06-133	0.0409268354111573	0.15816647777358	0	0.00176300214078831	0.651114469210427	0.000692607983881123	0.139969777106158	0.00642236494144314	0	0.000944465432565168
run06-134	0.186454977757325	0.20524620340543	0	0.00145727872373063	0.58298818837245	0	0.0233931584598865	0.000460193281178095	0	0
run06-135	0.102448330683625	0.118155802861685	0	0.00082670906200318	0.664674085850556	0	0.113386327503975	0	0	0.000508744038155803
run06-181	0.081866583150642	0.139116818039461	0	0.00964610084559975	0.725211399937363	0.00169119949890385	0.0316943313498277	0.00989664891951143	0.000689007203257125	0.000187911055433761
run06-182	0.121969696969697	0.228939393939394	0	0.00348484848484848	0.635681818181818	0	0.00977272727272727	0.000151515151515152	0	0
run06-183	0.0316129883843717	0.340417106652587	0	0	0.321343717001056	0	0.306362196409715	0	0	0.000263991552270327
run06-184	0.0690309121941969	0.274890953916177	0	0.00730134648207851	0.512611416650863	0.00018964536317087	0.133225867627537	0.00274985776597762	0	0
run06-186	0.0809582094771813	0.261001340560704	0.00104913446406714	0.00122399020807834	0.624293291367955	0	0.030891181441977	0.000582852480037303	0	0
run06-187	0.0359666024405909	0.230732177263969	0	0.00144508670520231	0.588631984585742	0	0.136319845857418	0.00690430314707771	0	0
run06-188	0.147040324271438	0.300020965825704	0	0.00321475994129569	0.51443147669299	0	0.0348032706688098	0.000489202599762387	0	0
run06-189	0.11112474688593	0.165490581088544	0	0.00153402466711665	0.617536969994477	0	0.104313677363932	0	0	0
run07-Cah7-101	0.128527466771427	0.415962810187913	0	0.00196425063838146	0.441563543508152	0	0.0119819288941269	0	0	0
run07-Cah7-102	0.0197951906372863	0.20238639480662	0	0.00114290939014355	0.671390692145927	0	0.105010514766389	0	0	0.000274298253634452
run07-Cah7-103	0.0158889927385146	0.390754187935869	0	0	0.589114961535696	0	0.0042418577899202	0	0	0
run07-Cah7-106	0.0570408052819569	0.282443987444529	0	0.0125554713713605	0.604935599090811	0	0.0424829527005087	0.000541184110834506	0	0
run07-Cah7-107	0.0672621943130058	0.220138858178924	0	0.000707557599610843	0.701720249414054	0	0.0101711404944059	0	0	0
run07-Cah7-109	0.0126833518904003	0.390860241080505	0	0.00343709154281841	0.556760420196544	0	0.0362588952897323	0	0	0
run07-Cah7-110	0.0187360178970917	0.372930648769575	0	0.0017337807606264	0.593400447427293	0	0.0075503355704698	0.00564876957494407	0	0
run07-Cah7-113	0.072153607680384	0.364718235911796	0.00760038001900095	0.00380019000950048	0.494824741237062	0.00655032751637582	0.0394019700985049	0.0108005400270013	0	0.000150007500375019
run07-Cah7-114	0.0326638615364595	0.438250986856374	0.00650674532598794	0.00251594152604867	0.474558625775387	0	0.039951416301566	0.00537890946948336	0	0.000173513208693012
run07-Cah7-115	0.0164430780696851	0.56991801751444	0	0.00354015278554127	0.386295882243339	0	0.0225917644866778	0.00121110490031675	0	0
run07-Cah7-116	0.0275618374558304	0.282621265660135	0.00603919049148731	0.00462576292964986	0.638805011243174	0.000192740122068744	0.0249277224542242	0.0152264696434308	0	0
run07-Cah7-117	0.0171541183320643	0.305504546065302	0.000806198772786313	0.00421014914677297	0.672324987683074	0	0	0	0	0
run07-Cah7-121	0.021838512386483	0.128343732624946	0	0.00219311793414468	0.699481065052202	0	0.0150429356891333	0.133100636313091	0	0
run07-Cah7-122	0.0895764694647376	0.243183880055388	0.00152795683521941	0.010552451893234	0.629374970157093	0.000286491906603638	0.0174760063028219	0.00802177338490188	0	0
run07-Cah7-123	0.0467229072031149	0.486221068570193	0.000519143413367943	0.00808998485831711	0.193683755137357	0	0.264763140817651	0	0	0
run07-Cah7-124	0.0880607315389924	0.220335863814125	0.000874166091557396	0.00726938118242466	0.671037497124454	0	0.0123303427651254	0	0	9.20174833218311e-05
run07-Cah7-125	0.0333639552363454	0.335309837982295	0	0.00734925672289962	0.568606981793887	0	0.0547018540170369	0.000668114247536329	0	0
run07-Cah7-126	0.144033976494709	0.148683776956028	0.00578479112510526	0	0.684911946692051	0	0.0165855087321056	0	0	0
run07-Cah7-127	0.0600907029478458	0.364142758552696	0	0.000246475401754905	0.482943902198561	0	0.0912451937296658	0.00133096716947649	0	0
