feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota
M017.SI	459	6391	244	752	13427	134	2519	1213
M022.AS	1276	17849	0	65	44590	23	2420	0
M022.SI	604	7119	0	38	19835	2	1103	0
M023.AS	485	5559	52	6	29507	0	2031	0
M023.SI	1115	12639	110	0	51609	0	4438	3
P301CA1R.lib20	1637	6954	46	184	12068	0	984	199
P301SI1R.lib20	410	4701	45	92	7621	0	760	187
P302CA1R.lib21	935	3966	466	70	16638	0	972	22
P302SI1R.lib21	1083	5891	1163	127	25743	0	1430	45
P304CA1R.lib21	161	1408	0	0	14023	0	1535	0
P304SI1R.lib21	551	2611	0	9	18969	0	2781	0
P305CA1R.2.lib21	102	9874	0	84	9446	15	5030	0
P305SI1R.lib20	69	6624	0	8	2668	2	2631	0
P306CA1R.lib21	410	7704	31	153	14730	178	942	41
P306SI1R.lib21	459	17341	45	632	25759	65	2294	113
P307CA1R.lib21	438	3148	62	29	11687	0	935	28
P307SI1R.lib21	260	3606	66	65	16921	0	1428	24
P308CA1R.lib21	417	9237	95	100	41858	0	1170	6465
P308SI1R.lib20	149	4675	19	52	10650	0	336	1941
P310CA1R.lib21	352	5791	132	0	19291	0	2796	68
P310SI1R.lib21	336	5336	120	9	17446	0	2393	63
P314CA1R.lib21	947	7316	27	0	30696	0	4622	0
P314SI1R.lib21	1483	8246	234	33	23456	7	4308	0
P318CA1R.lib21	393	8288	163	43	28774	6	1597	0
P318SI1R.lib21	554	11860	129	61	30534	0	1599	4
P320CA1R.lib21	152	4518	223	380	7585	0	606	289
P320SI1R.lib20	237	4595	180	376	13548	0	470	158
P321SI1R.lib21	32	1311	0	23	11265	0	124	72
P323CA1R.lib21	1190	9747	104	132	30037	0	2399	116
P323SI1R.lib20	395	3435	65	70	11410	0	970	51
P325CA1R.lib21	1127	12540	113	168	24055	0	2013	6209
P325SI1R.lib21	136	3324	39	134	8366	0	640	1075
P326CA1R.lib21	748	4056	49	13	14520	0	855	4
P326SI1R.lib21	2252	8306	36	60	21262	0	2353	15
P329CA1R.lib21	119	6631	0	5	16183	0	1540	48
P329SI1R.lib21	156	6263	0	2	17683	2	658	141
P333CA1R.lib21	250	3548	43	15	21261	28	394	6
P333SI1R.lib21	1076	11677	136	149	36773	16	910	0
P334CA1R.lib21	934	3099	0	60	19316	0	1096	0
P334SI1R.lib21	1099	3600	0	49	17286	0	1386	0
P336CA1R.lib21	519	3263	0	29	11452	51	788	0
P336SI1R.lib20	558	2240	0	21	7076	5	619	0
