feature	Actinobacteriota	Bacteroidota	Desulfobacterota	Firmicutes	Fusobacteriota	Proteobacteria	Verrucomicrobiota	Campylobacterota	Cyanobacteria	Synergistota
4191.3.lib29	240	18026	111	15468	3	7477	107	0	0	0
4191.4.lib29	130	16614	87	11620	0	7847	19	4	0	0
4192.2.rerun.lib32	145	9403	0	22363	0	674	12	0	0	0
4192.4.rerun.lib32	99	25933	0	31603	0	903	0	0	0	0
4194.2.lib30	374	13399	184	15361	14	4806	0	0	0	0
4194.3.rerun.lib32	470	11764	128	13571	0	5295	0	0	0	0
run02-105	513	0	0	6683	0	13218	0	0	0	0
run02-108	5482	2887	0	24169	33	4247	0	0	0	0
run02-114	2801	5499	39	13926	0	2874	0	0	0	0
run02-116	3948	7613	144	12062	0	2538	0	0	0	0
run02-123	1586	1349	0	8750	0	3802	0	0	0	0
run02-153	924	14	0	6752	0	12038	0	0	0	0
run02-156	2678	7387	0	25437	0	1553	83	0	0	49
run02-162	1767	5384	21	13682	0	2136	0	0	0	0
run02-164	3539	6096	151	12918	0	1291	0	0	0	0
run02-173	695	7	0	7741	0	1570	0	0	0	0
run03-104	334	2674	0	7908	0	4133	0	0	0	0
run03-108	715	6220	28	12698	17	1580	16	0	0	0
run03-110	259	0	0	13958	65	2043	5043	10	0	0
run03-115	643	6219	712	14342	5292	3284	262	0	188	0
run03-123	6968	5214	56	21301	15	3804	0	0	0	0
run03-124	1967	6710	0	12825	0	2486	0	0	0	0
run03-126	5151	5961	0	18423	3	1688	0	0	0	0
run03-129	2252	12822	2	25620	0	1274	0	0	0	0
run03-131	1375	10100	677	16201	111	2593	0	4	0	0
run03-138	2508	8680	0	16960	0	625	0	0	0	0
run03-143	6018	5376	0	17719	141	1003	0	6	0	0
run03-147	62	138	0	1129	0	12525	0	0	0	0
run03-149	710	4009	0	12743	0	6496	0	0	0	0
run03-153	939	8063	23	19720	15	1951	12	0	0	0
run03-155	369	0	0	17939	143	4376	10115	13	0	0
run03-160	537	9030	1091	14579	4188	2206	287	0	201	0
run03-170	6035	4922	85	16002	50	1811	2	6	0	0
run03-171	2340	8012	0	12204	4	3041	0	0	0	0
run03-173	4861	7258	0	13826	0	1010	0	0	0	0
run03-176	2323	9032	4	19404	0	628	0	0	0	0
run03-178	1231	7445	1271	13427	47	2969	0	11	0	0
run03-185	2732	8093	0	15238	0	607	0	0	0	0
run03-99	139	4934	0	10112	77	2919	0	0	3	0
run04-102	71	9622	0	2887	741	13950	5547	0	0	0
run04-108	10296	3102	0	22181	0	2220	8	0	173	0
run04-109	1162	2541	354	8937	8380	9182	933	0	0	0
run04-146	7384	3150	0	14017	0	190	0	0	0	0
run04-147	1492	921	0	6162	37	3501	15	17	0	0
run04-148	950	4721	0	13515	0	1569	0	2	0	0
run04-149	3927	4414	161	12929	23	326	0	22	0	0
run04-155	476	5099	0	3424	530	7011	5567	0	3	0
run04-163	5242	3940	0	16116	184	3244	1713	0	66	0
run04-165	847	3217	297	10223	6582	4448	1073	0	0	0
run04-97	1354	6472	0	19433	0	2464	0	0	0	0
run04-98	3137	4878	155	13291	6	879	0	23	0	0
run05-127	495	353	0	6902	5	21573	0	0	0	0
run06-101	5722	3872	76	14429	0	429	0	4	0	0
run06-102	602	4	0	12243	11	4741	0	3	0	0
run06-103	1116	4841	0	18683	0	2	0	0	0	0
run06-104	50	2	0	4170	0	6645	0	0	0	0
run06-106	907	5130	20	10960	0	713	0	0	0	0
run06-107	808	3267	0	14595	3	408	0	0	0	0
run06-109	47	0	0	21741	0	579	0	0	0	0
run06-111	421	3052	20	13878	175	4197	674	2	0	0
run06-112	3330	1461	68	8619	0	835	35	0	0	0
run06-113	595	0	0	20900	0	18	0	0	0	0
run06-114	1842	3240	0	10416	0	0	7	190	0	0
run06-116	1116	4090	60	9494	0	30	0	0	34	0
run06-117	878	4152	240	18477	0	551	308	0	8	0
run06-118	855	5395	45	11301	0	332	3656	0	0	5
run06-121	1988	3338	0	10092	0	854	0	0	0	0
run06-123	395	6169	174	9076	2	399	114	0	0	0
run06-124	1355	2222	0	8243	0	282	0	0	0	0
run06-125	2144	2556	0	8034	0	133	0	0	0	0
run06-126	798	1016	0	10024	10	3032	0	0	0	0
run06-150	268	6925	0	11787	0	159	0	0	0	0
run06-151	426	5489	0	13980	7	1397	1030	0	0	0
run06-152	891	1925	74	10848	0	162	92	0	0	0
run06-154	4606	2926	48	11217	0	268	0	0	0	0
run06-156	702	2515	0	22860	0	19	0	0	0	0
run06-162	1402	2142	0	13530	5	341	0	0	0	0
run06-164	3	0	0	15255	0	163	0	0	0	0
run06-166	201	2780	15	7755	16	713	875	0	3	0
run06-167	492	82	0	16324	0	34	18	0	0	0
run06-168	2339	3090	0	12673	0	0	0	184	0	0
run06-170	1266	4318	64	9933	0	35	0	0	33	0
run06-171	631	4089	120	13945	0	438	139	0	22	0
run06-172	399	3213	12	5408	0	161	1548	0	0	0
run06-173	1063	3349	0	5604	0	739	0	0	0	0
run06-176	1506	2652	0	7692	0	678	0	0	0	0
run06-177	2765	3522	0	10324	0	224	0	0	0	0
run06-179	1004	2420	0	10662	3	3283	0	0	0	0
run06-180	204	2813	0	13092	34	57	36	0	0	0
run06-190	375	4737	0	11099	0	138	62	0	159	0
run06-97	309	9327	0	18142	0	124	0	0	0	0
run06-98	254	3211	0	8725	7	1249	265	0	0	0
run06-99	433	4291	53	15695	0	502	78	0	0	0
run07-Cah7-145	3454	3157	31	16409	0	775	0	0	0	0
run07-Cah7-146	1457	4923	0	3889	0	467	0	0	0	0
run07-Cah7-98	1528	6664	0	3764	0	465	0	0	0	0
