feature	Actinobacteriota	Bacteroidota	Cyanobacteria	Desulfobacterota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Verrucomicrobiota	Campylobacterota
run07-Cah7-77	0.159818181818182	0.168787878787879	0.00787878787878788	0	0.642484848484848	0	0	0.0206666666666667	0.000363636363636364	0
run07-Cah7-78	0.0595677832972445	0.418630323101091	0	0.00148601027469961	0.432683734556107	0	0	0.0841081815479981	0.00352396722285908	0
run07-Cah7-79	0.0485108410769597	0.355396711937098	0	0.000238265427686443	0.567119370979271	0.000142959256611866	0	0.0285918513223731	0	0
run07-Cah7-80	0.00553141050967997	0.0226900716825648	0	0.000225771857537958	0.0797539086752836	0	0	0.891798837274934	0	0
run07-Cah7-81	0.0840623428858723	0.31236802413273	0	0.000603318250377074	0.574057315233786	0	0.000904977375565611	0.0280040221216692	0	0
run07-Cah7-82	0.087342260428721	0.193751033228633	0	0.00126742712294043	0.690857993056704	0.000110211054168733	0.000275527635421833	0.0263955474734116	0	0
run07-Cah7-83	0.104474569360921	0.218581184384874	0	0.000713484863928244	0.649627968606666	0.000203852818265213	0.00132504331872388	0.0244623381918255	0	0.000611558454795638
run07-Cah7-84	0.0723721304873137	0.254853000402739	0.00076520338300443	0.0063229963753524	0.624083769633508	0	0.000161095449053564	0.0300040273862263	0.0114377768828031	0
run07-Cah7-85	0.184982828598189	0.114528046622958	0	0.000208138203767301	0.689926110937663	0	0	0.0103548756374232	0	0
run07-Cah7-86	0.16609732877863	0.154449235593885	0	0.00224001792014336	0.670045360362883	0	0	0.00716805734445876	0	0
run07-Cah7-87	0.00975081256771398	0.248005515611149	0.000344725696838373	0.000935684034275584	0.729784300206835	0	0	0.009110607702157	0.00206835418103024	0
run07-Cah7-88	0.0338294184448031	0.279780049010818	0.0353236507082661	0.00836770067539298	0.587830972446357	0	0	0.0540912079373618	0.000777000777000777	0
4013.1.lib27	0.0325008671522719	0.217655220256677	0.000659035726673604	0.00208116545265349	0.614047866805411	0	0	0.0165105792577177	0.116545265348595	0
4019.1.rerun.lib32	0.00380824372759857	0.443072356630824	0	0.00509632616487455	0.485579077060932	0.00187612007168459	0.000252016129032258	0.0601198476702509	0	0.000196012544802867
4023.1.lib29	0.00434377908780639	0.265156686317096	0	0	0.622525597269625	0.00974247595408005	0	0.0982314613713931	0	0
4024.1.rerun.lib32	0.0461168482104965	0.0509265808459471	0	0	0.900268779176687	0	0	0.00134389588343472	0.00134389588343472	0
4027.1.rerun.lib32	0.004739336492891	0.375084631008802	0	0	0.562830060934326	0	0	0.057345971563981	0	0
4035.1.lib27	0.0206672779854694	0.225647175001763	0	0.00663045778373422	0.739013895746632	0	0	0.00804119348240107	0	0
4036.1.lib29	0.00215130871280029	0.300312451979716	0	0.00250986016493367	0.241458792193823	0	0	0.0208472058597552	0.432720381088972	0
4042.1.lib27	0.0109409190371991	0.32318811749884	0	0.00603408262051588	0.621842052914263	0	0	0.0332869173131755	0.0047079106160069	0
4051.1.rerun.lib32	0.0287015615962984	0.466454598033545	0	0.0083502024291498	0.474298727588201	0	0	0.0221949103528051	0	0
4056.1.lib29	0.0118732614152928	0.284449419906371	0	0.00519031141868512	0.682203677318678	0	0	0.0162833299409729	0	0
4058.1.rerun.lib32	0.00739752323430953	0.0160357703022216	0	0	0.866821171898776	0	0	0.109160287473371	0	0.000585247091321956
4060.1.lib27	0.0127498560500123	0.279674261742206	0	0.000246771407419594	0.679814098873077	0	0	0.0275150119272847	0	0
4070.1.lib27	0.00244027013222859	0.314057090971	0	0	0.513222859088587	0	0	0.170279779808183	0	0
4072.1.lib27	0.0415205385576652	0.207562381585843	0	0.00399080904583384	0.68654008949087	0.00020155601241585	0	0.0593784012577095	0.000806224049663401	0
4075.1.rerun.lib32	0.0183813566976786	0.295275946165658	0.00745190136392376	0.00447114081835426	0.647773462198537	0	0	0.0170716285791708	0.00957456417667781	0
4076.1.lib27	0.0446257597202564	0.118891016568146	0	0.0129880942469403	0.632503538423112	0.00024977104321039	0.000666056115227708	0.189076679710266	0.000749313129631171	0.00024977104321039
